,cafe_names,cafe_places,cafe_ranks,cafe_adresses,cafe_images1,ca_images2
846,新北浜, 北浜駅 470m / カフェ・喫茶(喫茶店)、カレーライス            ,3.09,大阪府大阪市中央区平野町1-7-11 ,"['https://tblg.k-img.com/restaurant/images/Rvw/155736/320x320_square_155736378.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155736/320x320_square_155736379.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155736/320x320_square_155736384.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/168767/150x150_square_1bbb7b56b4dab3bb03bd16a74a889352.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168767/150x150_square_c4f43626b8a1d169ecd55dff1083df20.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168767/150x150_square_88c4a358c7311e9b379c10e1eb10bd99.jpg']"
847,いとはん, 淀屋橋駅 434m / カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市中央区平野町3-1-13 ,"['https://tblg.k-img.com/restaurant/images/Rvw/168817/320x320_square_0d4b4b3419591f746c87f511e56b7f3f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168817/320x320_square_6f3e237490642719475f26298b08a1b9.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/68254/320x320_square_68254589.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/57479/150x150_square_57479992.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/57479/150x150_square_57479978.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/57479/150x150_square_57479980.jpg']"
848,Miyaji, 姫松駅 442m / カフェ・喫茶(カフェ)、イタリアン、洋菓子（その他）            ,3.09,大阪府大阪市阿倍野区北畠1丁目23-2 ,"['https://tblg.k-img.com/restaurant/images/Rvw/10588/320x320_square_10588585.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/10588/320x320_square_10588586.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/10588/320x320_square_10588596.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/153398/150x150_square_153398059.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153398/150x150_square_153398062.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/139459/150x150_square_139459051.jpg']"
849,だるま珈琲, 平野（大阪メトロ）駅 462m / カフェ・喫茶(コーヒー専門店)、ハンバーガー、サンドイッチ            ,3.09,大阪府大阪市平野区平野本町3-2-24 ,"['https://tblg.k-img.com/restaurant/images/Rvw/102208/320x320_square_102208658.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/102208/320x320_square_102208660.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/102208/320x320_square_102208613.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/127515/150x150_square_127515823.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127515/150x150_square_127515769.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127524/150x150_square_127524657.jpg']"
850,ナカザキ カフェ, 中崎町駅 185m / カフェ・喫茶(カフェ)、フレンチトースト、パフェ            ,3.09,大阪府大阪市北区中崎西1-9-23 ,"['https://tblg.k-img.com/restaurant/images/Rvw/154560/320x320_square_154560454.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154560/320x320_square_154560478.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154566/320x320_square_154566685.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/160502/150x150_square_160502731.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/160502/150x150_square_160502738.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/160502/150x150_square_160502743.jpg']"
851,カフェ アン39, 福島駅 178m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市福島区福島5-6-31 ,"['https://tblg.k-img.com/restaurant/images/Rvw/149579/320x320_square_149579251.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/149579/320x320_square_149579252.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/108835/320x320_square_108835049.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/151420/150x150_square_151420200.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151420/150x150_square_151420222.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172172/150x150_square_36d60947704efd71e5ccde502ade0668.jpg']"
852,マルモキッチン グランフロント大阪店 , 大阪駅 224m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市北区大深町4-20 グランフロント大阪 南館 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/167807/320x320_square_c4f2e3b7f6fe3b79d2c4c0ec3cd7ced5.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167807/320x320_square_8700d78ca37de42c105f0aed28c2dfad.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167601/320x320_square_54586329ca22dcb2b838e4a67897121a.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/152845/150x150_square_152845880.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/152845/150x150_square_152845881.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/152845/150x150_square_152845882.jpg']"
853,アイナオーラ, 四天王寺前夕陽ケ丘駅 460m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市天王寺区小宮町8-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/43806/320x320_square_43806812.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30459/320x320_square_30459865.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30459/320x320_square_30459870.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/30459/150x150_square_30459865.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30459/150x150_square_30459866.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30459/150x150_square_30459868.jpg']"
854,台湾茶 深泉, 大阪上本町駅 290m / カフェ・喫茶(中国茶専門店)、カフェ・喫茶(カフェ)、台湾料理            ,3.09,大阪府大阪市天王寺区上本町6-8-9 上七レトロビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/122476/320x320_square_122476712.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/119208/320x320_square_119208694.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77457/320x320_square_77457023.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/77457/150x150_square_77457070.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77457/150x150_square_77457117.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77457/150x150_square_77457124.jpg']"
855,喫茶 珈琲焙煎研究所 東三国, 東三国駅 96m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市淀川区東三国1-32-22 ,"['https://tblg.k-img.com/restaurant/images/Rvw/167460/320x320_square_ff1d6e9de4c9faad58bee415db443757.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167460/320x320_square_886a6e4a3abe0076025de3beb2986732.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154105/320x320_square_154105968.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/129098/150x150_square_129098752.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129098/150x150_square_129098753.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129098/150x150_square_129098754.jpg']"
856,フジオ珈琲 中津店, 中津（大阪メトロ）駅 104m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市北区豊崎3-17-12 岡ビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/136534/320x320_square_136534433.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/174152/320x320_square_1c8e803b934c2cbc7cc603643a9ba3ea.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/165372/320x320_square_3fe9b108eb7e973d0faebf239257438a.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/150025/150x150_square_150025227.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150025/150x150_square_150025228.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150025/150x150_square_150025229.jpg']"
857,町家カフェ 北堀江, 西大橋駅 223m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市西区北堀江2-3-18 ,"['https://tblg.k-img.com/restaurant/images/Rvw/151182/320x320_square_151182424.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151182/320x320_square_151182427.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151182/320x320_square_151182429.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/172862/150x150_square_796908ce7fdd4f247e735b1fab208b6e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172862/150x150_square_1b2bd44c91d2725b445e2a15aad89903.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172862/150x150_square_f6f26103d4177530b25a43abca8799e3.jpg']"
858,エルサイドカフェ, 海老江駅 348m / カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)、カフェ・喫茶(カフェ・喫茶（その他）)            ,3.09,大阪府大阪市福島区海老江1-5-45 レクサス大阪福島内,"['https://tblg.k-img.com/restaurant/images/Rvw/132761/320x320_square_132761887.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132322/320x320_square_132322997.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153077/320x320_square_153077421.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/142797/150x150_square_142797109.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142797/150x150_square_142797111.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142797/150x150_square_142797112.jpg']"
859,鈴, 鴫野駅 319m / カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市城東区新喜多東1-4-17 ,"['https://tblg.k-img.com/restaurant/images/Rvw/172544/320x320_square_5c6f6c5547f8d3859e5ddd4ccb18fd8a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172544/320x320_square_6a6ffbeaafcb617ee00b26a5a90d46bf.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171107/320x320_square_72503a2dc06ebc3b93877b2c3e1e4506.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/172544/150x150_square_5c6f6c5547f8d3859e5ddd4ccb18fd8a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172544/150x150_square_6a6ffbeaafcb617ee00b26a5a90d46bf.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172544/150x150_square_f66614296182f2e7e0d7925507f4a8c5.jpg']"
860,CAFE COOK酢, 野江内代駅 17m / カフェ・喫茶(カフェ)、居酒屋・ダイニングバー（その他）            ,3.09,大阪府大阪市城東区野江4-10-1 ,"['https://tblg.k-img.com/restaurant/images/Rvw/86433/320x320_square_86433044.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/86433/320x320_square_86433043.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/86433/320x320_square_86433273.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/66942/150x150_square_66942170.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/66942/150x150_square_66942313.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/66942/150x150_square_66942412.jpg']"
861,パティスリー&カフェ イチブル, 西大橋駅 323m / カフェ・喫茶(カフェ)、ケーキ、ハンバーグ            ,3.09,大阪府大阪市西区新町2-13-3 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/143132/320x320_square_143132040.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143132/320x320_square_143132046.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143132/320x320_square_143132066.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/114804/150x150_square_114804500.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/114804/150x150_square_114804503.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/114804/150x150_square_114804505.jpg']"
862,カフェ コワーキング スペース クリップ, 昭和町駅 37m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市阿倍野区阪南町1-50-3 ,"['https://tblg.k-img.com/restaurant/images/Rvw/146871/320x320_square_146871912.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118144/320x320_square_118144453.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118144/320x320_square_118144353.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/158230/150x150_square_158230823.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156851/150x150_square_156851346.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156851/150x150_square_156851350.jpg']"
863,カフェ　華, 昭和町駅 392m / カフェ・喫茶(カフェ)、カレーライス、サンドイッチ            ,3.09,大阪府大阪市阿倍野区昭和町2-20-15 ,"['https://tblg.k-img.com/restaurant/images/Rvw/5462/320x320_square_5462135.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/5462/320x320_square_5462136.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/5462/320x320_square_5462137.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/39698/150x150_square_39698441.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/39262/150x150_square_39262380.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/39262/150x150_square_39262378.jpg']"
864,B.S.C, 南巽駅 136m / カフェ・喫茶(カフェ)、バー・お酒（その他）、ハンバーガー            ,3.09,大阪府大阪市生野区巽東2-18-23 ,"['https://tblg.k-img.com/restaurant/images/Rvw/175215/320x320_square_61192afbcf70c7af20f423f7b3ec57dc.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175215/320x320_square_7125e7c18bce7f47ad0c6fa44f50f672.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175215/320x320_square_d324861be3f230ecd0866c7ae52dfd5b.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/34994/150x150_square_34994936.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34994/150x150_square_34994938.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34994/150x150_square_34994941.jpg']"
865,インド・ネパール料理 Sagun, 桜ノ宮駅 201m / カフェ・喫茶(カフェ)、インド料理、居酒屋            ,3.09,大阪府大阪市都島区中野町4-7-11 テラニシハイツ 102,"['https://tblg.k-img.com/restaurant/images/Rvw/88398/320x320_square_88398087.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/88397/320x320_square_88397257.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/88398/320x320_square_88398104.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/103822/150x150_square_103822001.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/103821/150x150_square_103821989.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/103822/150x150_square_103822020.jpg']"
866,ふじ , 平野（ＪＲ）駅 520m / カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市生野区巽南5丁目10-16 ,"['https://tblg.k-img.com/restaurant/images/Rvw/154759/320x320_square_154759211.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154759/320x320_square_154759214.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154759/320x320_square_154759218.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/116143/150x150_square_116143452.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/116143/150x150_square_116143453.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/116143/150x150_square_116143454.jpg']"
867,World フルーツパーラー, 淡路駅 63m / カフェ・喫茶(カフェ)、フルーツパーラー、サンドイッチ            ,3.09,大阪府大阪市東淀川区東淡路4-17-11 ,"['https://tblg.k-img.com/restaurant/images/Rvw/166763/320x320_square_14def019f536e16d13cd9fde34a1beca.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166759/320x320_square_51d6baad94718ce6a6baad81a28d09da.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166759/320x320_square_8186fb50d2e2c758ff070c645fae19e0.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/165738/150x150_square_2bd1d4f20891cd7c30cce6474278280c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/165738/150x150_square_6478c4b147fa6d7d52a6ac0ed71b7075.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/165738/150x150_square_19909e07a2e2c5b33a067c4ab8fb2f41.jpg']"
868,ロッキー, 扇町駅 465m / カフェ・喫茶(喫茶店)、カレーライス            ,3.09,大阪府大阪市北区野崎町9-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/146451/320x320_square_146451686.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146451/320x320_square_146451691.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146451/320x320_square_146451671.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/146451/150x150_square_146451671.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146451/150x150_square_146451673.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146451/150x150_square_146451675.jpg']"
869,domus, 四ツ橋駅 212m / カフェ・喫茶(カフェ)、バー・お酒（その他）            ,3.09,大阪府大阪市北区野崎町9-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/162287/320x320_square_162287503.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162271/320x320_square_162271759.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/139064/320x320_square_139064679.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/138271/150x150_square_138271782.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138271/150x150_square_138271783.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138271/150x150_square_138271784.jpg']"
870,ブルックリン ロースティング カンパニー エクスプレッソ シンサイバシ, 心斎橋駅 76m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市中央区心斎橋筋1-8-3 心斎橋パルコ B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/175016/320x320_square_3599c22333d41d603a0e6b2c4e2a99e5.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175016/320x320_square_23037e2364b2d58cb3e7ba7ad5222674.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175016/320x320_square_d388a635b7d25c210d4d6da766b99390.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/172319/150x150_square_61ed60d8729673ca4860d4f8cc3a58ae.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172319/150x150_square_8fe0e36b8707fa1dd7be5c9ccbdb0b8e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172319/150x150_square_e8ab6a9e503ced22bf8ea659ca1415ab.jpg']"
871,クレディス コーヒー 野田駅店, 野田（ＪＲ）駅 1m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市福島区吉野3-1-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/173973/320x320_square_8e07138014e0cdddcd92f13866d2de3c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/104138/320x320_square_104138951.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173973/320x320_square_df7ed9182d5e5b3a62073dd4974f0489.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/103591/150x150_square_103591970.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/106717/150x150_square_106717391.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/106717/150x150_square_106717394.jpg']"
872,ミファレ, 東三国駅 484m / カフェ・喫茶(喫茶店)、定食・食堂、ハンバーグ            ,3.09,大阪府大阪市淀川区東三国6-12-19 ,"['https://tblg.k-img.com/restaurant/images/Rvw/158928/320x320_square_158928086.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158928/320x320_square_158928094.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158928/320x320_square_158928087.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/45673/150x150_square_45673365.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/45673/150x150_square_45673359.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/45673/150x150_square_45673356.jpg']"
873,池田屋珈琲, 北田辺駅 109m / カフェ・喫茶(喫茶店)            ,3.09,大阪府大阪市東住吉区北田辺4-24-5 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/163057/320x320_square_e5d60178b58222f9510c1467687b70a2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163057/320x320_square_bea2583fc917513f4e9f3d33fadcd7c0.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163057/320x320_square_a3e60c0d96257fb7566587ac45497970.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/163057/150x150_square_e5d60178b58222f9510c1467687b70a2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163057/150x150_square_bea2583fc917513f4e9f3d33fadcd7c0.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163057/150x150_square_1bbb621c480653b9e609db08031080c4.jpg']"
874,カフェ エルム, 中之島駅 402m / カフェ・喫茶(カフェ)            ,3.09,大阪府大阪市北区中之島6-2-39 中之島プラザ 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/158352/320x320_square_158352872.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158352/320x320_square_158352873.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146393/320x320_square_146393799.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/140075/150x150_square_140075420.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140075/150x150_square_140075422.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140075/150x150_square_140075427.jpg']"
875,カフェ ビーンズ, 上新庄駅 445m / カフェ・喫茶(カフェ)、カレー（その他）、ケーキ            ,3.09,大阪府大阪市東淀川区豊新3-24-6 プラザコウエイⅡ　１Ｆ,"['https://tblg.k-img.com/restaurant/images/Rvw/3755/320x320_square_3755217.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/3755/320x320_square_3755218.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/3755/320x320_square_3755219.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/157222/150x150_square_157222426.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176506/150x150_square_e99c358f27a40ba1b1d16b791b2e122a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176506/150x150_square_420efff98ad840f01e37b1be672943c3.jpg']"
876,チャクラ, 北浜駅 323m / カフェ・喫茶(カフェ・喫茶（その他）)、アジア・エスニック料理（その他）、バー            ,3.09,大阪府大阪市北区菅原町6-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/148400/320x320_square_148400787.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/148400/320x320_square_148400816.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/148400/320x320_square_148400872.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/20416/150x150_square_20416262.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/20416/150x150_square_20416266.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/20416/150x150_square_20416269.jpg']"
877,Sand.R コンパル店, 千林大宮駅 267m / カフェ・喫茶(カフェ)、サンドイッチ            ,3.09,大阪府大阪市旭区千林2-11-13 ,"['https://tblg.k-img.com/restaurant/images/Rvw/164490/320x320_square_8eb33c78b04edb9f305737ce0de0d977.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164490/320x320_square_e172f113212d63c0647115287a7fbbf1.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/136471/320x320_square_136471849.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/164490/150x150_square_8eb33c78b04edb9f305737ce0de0d977.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164490/150x150_square_e172f113212d63c0647115287a7fbbf1.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164490/150x150_square_b47f6dc629ce3833deb6d0717bea00a0.jpg']"
878,カチソウゾウ, 大阪上本町駅 244m / カフェ・喫茶(カフェ・喫茶（その他）)、レストラン（その他）、オムライス            ,3.09,大阪府大阪市天王寺区東高津町6-9 ,"['https://tblg.k-img.com/restaurant/images/Rvw/26553/320x320_square_26553706.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/26553/320x320_square_26553656.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/26553/320x320_square_26553556.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/115033/150x150_square_115033036.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/115033/150x150_square_115033038.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/115033/150x150_square_115033040.jpg']"
879,喫茶ホーマー, 堺筋本町駅 50m / カフェ・喫茶(喫茶店)、パン・サンドイッチ（その他）            ,3.09,大阪府大阪市中央区船場中央2-1 船場センタービル4号館 南通り B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/168020/320x320_square_00c34db18f580c90cdc3336e3ad93196.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168020/320x320_square_c309b59d95e892f4c8ad3472bf4387c6.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/170266/320x320_square_30b9dec9bbb3c3b7a8825ed0da7646c7.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/165919/150x150_square_28f7f101dd2067b1a3bc181a4418805a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/165919/150x150_square_40561c2f040eedd9b57ee20ee60ed8c6.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/165919/150x150_square_54593d33b0fa7e859ebc0b31c6adcd74.jpg']"
880,シアトルズ・ベスト・コーヒー 梅田DTタワー店, 大阪梅田（阪神）駅 173m / カフェ・喫茶(カフェ)            ,3.08,大阪府大阪市北区梅田1丁目10-1 梅田DTタワー1F,"['https://tblg.k-img.com/restaurant/images/Rvw/165570/320x320_square_d4a374acf44ec729e589f5cac560dc84.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/160239/320x320_square_160239030.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/160239/320x320_square_160239032.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/109491/150x150_square_109491201.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140574/150x150_square_140574326.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/140574/150x150_square_140574323.jpg']"
881,英國屋 心斎橋店, 心斎橋駅 314m / カフェ・喫茶(喫茶店)、カフェ・喫茶(コーヒー専門店)、ケーキ            ,3.08,大阪府大阪市中央区心斎橋筋2-1-31 煉瓦館ビル,"['https://tblg.k-img.com/restaurant/images/Rvw/177407/320x320_square_1eec9ac2aba9a9d7bd33ad367f658918.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177407/320x320_square_ad4d9ce485b2bdb86cc22e457a4bf9ee.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167289/320x320_square_6f6e6210c541ed811c54299e5369f80f.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/93578/150x150_square_93578122.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/93578/150x150_square_93578124.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/68290/150x150_square_68290460.jpg']"
